Date,Body Fat %,Caliper left hip,Caliper left scar,Caliper right back,Caliper right hip,Caliper right scar,Chest,Fitbit body fat %,Fitbit steps,Fitbit tracked sleep minutes,Hips,Left Arm,Left Leg,Neck,Right Arm,Right Leg,Waist,Weight
04/09/2012,,,,,,,,,,,,,,,,,,99
06/09/2012,,,,,,,,,,,,,,,,,,89.3
13/09/2012,,,,,,,,,,,,,,,,,,88.4
17/09/2012,,,,,,,,,,,,,,,,,,88.3
18/09/2012,,,,,,,,,,,,,,,,,,88
19/09/2012,,,,,,,,,,,,,,,,,,87.5
26/09/2012,,,,,,,,,,,,,,,,,,86.8
27/09/2012,,,,,,,,,,,,,,,,,,86.5
02/10/2012,,,,,,,,,,,,,,,,,,85.9
03/10/2012,,,,,,,,,,,,,,,,,,85.5
09/10/2012,,,,,,,,,,,,,,,,,,82.7
29/10/2012,13.68,,,,,,,,,,,,,,,,,86.5
30/10/2012,14.37,,,,,,,,,,,,,,,,,85.8
31/10/2012,14.47,,,,,,,,,,,,,,,,,85.6
01/11/2012,12.23,,,,,,,,,,,,,,,,,84.9
02/11/2012,13.74,,,,,,,,,,,,,,,,,84.8
04/11/2012,13.86,,,,,,,,,,,,,,,,,84.8
05/11/2012,13.28,,,,,,,,,,,,,,,,,86.9
06/11/2012,14.4,,,,,,,,,,,,,,,,,87.1
07/11/2012,13.8,,,,,,,,,,,,,,,,,85.5
08/11/2012,14.62,,,,,,,,,,,,,,,,,86.1
09/11/2012,14.56,,,,,,,,,,,,,,,,,85.7
11/11/2012,14.89,,,,,,,,,,,,,,,,,87.6
12/11/2012,15.58,,,,,,,,,,,,,,,,,87.4
13/11/2012,14.88,,,,,,,,,,,,,,,,,87.4
14/11/2012,14.37,,,,,,,,,,,,,,,,,87.1
17/11/2012,,,,,,,,,,,,,,,,,,85.7
18/11/2012,15.49,,,,,,,,,,,,,,,,,86.7
19/11/2012,14.84,,,,,,,,,,,,,,,,,86.2
20/11/2012,15.09,,,,,,,,,,,,,,,,,85.6
21/11/2012,15.32,,,,,,,,,,,,,,,,,84.8
22/11/2012,15.29,,,,,,,,,,,,,,,,,85.4
23/11/2012,14.06,,,,,,,,,,,,,,,,,86.5
26/11/2012,14.34,,,,,,,,,,,,,,,,,86.5
27/11/2012,13.83,,,,,,,,,,,,,,,,,86.5
28/11/2012,14.48,,,,,,,,,,,,,,,,,86.3
29/11/2012,15.44,,,,,,,,,,,,,,,,,87.2
30/11/2012,16.03,,,,,,,,,,,,,,,,,84.7
03/12/2012,14.83,,,,,,,,,,,,,,,,,87
04/12/2012,14.89,,,,,,,,,,,,,,,,,87.6
06/12/2012,15.84,,,,,,,,,,,,,,,,,86.2
07/12/2012,15.24,,,,,,,,,,,,,,,,,86.3
09/12/2012,15.33,,,,,,,,,,,,,,,,,85.4
10/12/2012,15.63,,,,,,,,,,,,,,,,,85
11/12/2012,15.33,,,,,,,,,,,,,,,,,83.9
12/12/2012,15.48,,,,,,,,,,,,,,,,,85.4
13/12/2012,14.81,,,,,,,,,,,,,,,,,84.7
14/12/2012,14.06,,,,,,,,,,,,,,,,,85
15/12/2012,13.74,,,,,,,,,,,,,,,,,83.7
18/12/2012,13.44,,,,,,,,,,,,,,,,,86.9
19/12/2012,14.06,,,,,,,,,,,,,,,,,87.6
