Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2012-09-04,Meal 1,557.0,16.7,6.6,2.2,4.5,0.0,320.7,190.3,1600.4,41.0,5.6,23.0,56.1,7.2,60.0,4.7,16.1
2012-09-04,Meal 3,75.0,0.9,0.0,0.6,0.1,0.0,0.0,4.3,332.6,17.1,8.7,7.0,2.0,10.8,66.7,4.1,5.7
2012-09-04,Meal 4,137.0,3.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.1,30.0,0.0,0.0,0.0
2012-09-05,Meal 3,784.0,19.4,5.3,2.7,4.2,0.0,153.0,701.0,510.8,42.4,3.6,10.6,79.2,1.2,0.0,7.5,11.4
2012-09-05,Meal 4,50.0,1.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,12.0,0.0,0.0,0.0
2012-09-06,Meal 2,624.0,25.7,8.4,1.4,1.8,0.0,15.0,1468.6,0.0,62.6,3.6,36.1,39.9,0.0,2.0,8.0,0.0
2012-09-06,Meal 3,1962.6,48.1,11.8,9.1,9.7,0.0,255.0,1649.2,1842.0,198.2,17.0,40.8,156.1,2.2,40.0,19.1,23.3
2012-09-06,Meal 4,590.2,27.5,4.0,0.0,0.0,0.0,0.0,800.0,0.0,58.5,5.6,24.9,5.9,24.0,0.0,0.0,0.0
2012-09-07,Meal 1,444.2,21.9,4.0,0.0,0.0,0.0,0.0,651.0,0.0,44.7,0.0,3.8,16.7,0.0,0.0,0.0,0.0
2012-09-07,Meal 2,837.1,41.4,1.5,0.0,0.0,0.0,338.9,1810.3,24.0,88.3,6.7,2.4,28.2,2.4,3.6,1.2,6.0
2012-09-07,Meal 3,1458.0,43.0,10.0,0.0,0.0,0.0,0.0,121.0,0.0,127.4,7.0,76.0,28.0,2.0,80.0,2.0,6.0
2012-09-07,Meal 4,1573.2,6.1,1.7,0.6,1.0,0.0,0.0,316.2,0.0,145.5,3.0,23.6,15.0,0.0,1.5,0.5,0.0
2012-09-08,Meal 3,373.1,15.4,2.1,2.8,7.4,0.0,0.0,901.3,0.1,30.5,2.5,7.9,26.8,0.0,0.0,0.0,0.2
2012-09-08,Meal 4,1047.5,43.5,12.6,15.0,5.8,0.0,0.0,312.1,0.0,134.5,8.2,106.5,11.1,24.0,0.0,0.0,0.0
2012-09-09,Meal 3,698.0,22.7,4.0,1.5,2.5,0.0,170.0,548.0,512.0,48.0,3.6,3.6,71.6,0.8,0.0,3.0,11.6
2012-09-09,Meal 4,75.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,4.2,3.0,0.0,0.0,0.0,0.0
2012-09-10,Meal 1,1192.3,28.9,7.5,7.0,8.0,0.0,422.0,1589.9,570.2,127.1,9.4,9.1,93.5,9.1,0.0,6.2,17.3
2012-09-10,Meal 3,2076.0,77.8,18.6,3.6,11.8,0.0,391.0,588.2,1185.2,111.4,11.2,4.6,219.2,1.8,0.0,11.4,29.6
2012-09-10,Meal 4,824.2,12.4,2.8,1.8,2.8,0.0,0.0,0.0,0.0,121.6,11.2,91.4,19.0,24.0,0.0,0.0,0.0
